gene	count
hsa-miR-1306-5p	60
hsa-miR-1307-5p	32
hsa-miR-1307-3p	171
hsa-miR-1537-3p	10
hsa-miR-1538	2
hsa-miR-320d	5
hsa-miR-1908-5p	23
hsa-miR-1976	3
hsa-miR-2110	58
hsa-miR-2115-5p	1
hsa-miR-2116-5p	1
hsa-miR-2116-3p	2
hsa-miR-548q	1
hsa-miR-2277-5p	4
hsa-miR-2278	1
hsa-miR-3117-3p	1
hsa-miR-3124-5p	1
hsa-miR-3127-5p	3
hsa-miR-3130-5p	1
hsa-miR-3135a	2
hsa-miR-3136-5p	1
hsa-miR-3140-3p	5
hsa-miR-3143	4
hsa-miR-3157-5p	1
hsa-miR-3158-3p	24
hsa-miR-3160-3p	1
hsa-miR-3173-5p	1
hsa-miR-3173-3p	1
hsa-miR-323b-3p	4
hsa-miR-3177-3p	2
hsa-miR-3065-5p	3
hsa-miR-3187-3p	5
hsa-miR-3194-3p	1
hsa-miR-3198	1
hsa-miR-3200-5p	3
hsa-miR-3200-3p	9
hsa-miR-378c	6
hsa-miR-2355-5p	1
hsa-miR-2355-3p	10
hsa-miR-3605-3p	3
hsa-miR-3611	7
hsa-miR-3613-5p	333
hsa-miR-3613-3p	10
hsa-miR-3615	131
hsa-miR-23c	2
hsa-miR-3667-5p	11
hsa-miR-3667-3p	1
hsa-miR-3679-5p	2
hsa-miR-3680-5p	1
hsa-miR-3682-3p	1
hsa-miR-3688-3p	14
hsa-miR-3909	1
hsa-miR-3911	1
hsa-miR-3913-5p	12
hsa-miR-3150b-3p	1
hsa-miR-3927-3p	1
hsa-miR-676-3p	1
hsa-miR-3928-5p	1
hsa-miR-3928-3p	4
hsa-miR-3940-5p	1
hsa-miR-3940-3p	3
hsa-miR-3942-5p	1
hsa-miR-378e	1
hsa-miR-378f	1
hsa-miR-4429	1
hsa-miR-4446-3p	1
hsa-miR-4449	1
hsa-miR-4479	1
hsa-miR-4482-3p	1
hsa-miR-4489	1
hsa-miR-4503	1
hsa-miR-4504	1
hsa-miR-4521	1
hsa-miR-4524a-3p	1
hsa-miR-4526	1
hsa-miR-378i	7
hsa-miR-4632-3p	1
hsa-miR-4638-5p	1
hsa-miR-4646-5p	2
hsa-miR-4659a-3p	2
hsa-miR-4659b-3p	1
hsa-miR-4665-5p	1
hsa-miR-4666a-5p	1
hsa-miR-4667-5p	1
hsa-miR-4668-5p	3
hsa-miR-219b-3p	1
hsa-miR-4677-3p	1
hsa-miR-4685-3p	9
hsa-miR-1343-3p	7
hsa-miR-4714-3p	2
hsa-miR-4753-5p	1
hsa-miR-6735-5p	1
